Expiration Date on bill,amount in Arpesos
2014-08-19,838
2014-09-19,836
2014-11-19,959
2014-12-19,979
2015-01-19,979
2015-02-22,996
2015-03-22,1058
2015-04-19,1044
2015-05-12,1045
2015-06-19,1158
2015-07-19,1164
2015-08-19,1192
2015-09-19,1211
2015-10-19,1212
2015-11-19,1244
2015-12-19,1264
2016-01-19,1263
2016-02-19,1268
2016-03-19,1213
2016-04-19,1273
2016-05-19,1283
2016-06-19,1308
2016-07-19,1307
2016-08-19,1429
2016-09-17,1565
2016-10-19,1622
2016-11-19,1766
2016-12-19,1798
2017-01-19,1799
2017-02-19,2077
2017-03-18,2177
2017-04-19,2110
2017-05-19,2196
2017-06-19,2151
2017-07-19,2025
2017-08-19,2025
2017-09-19,2023
2017-10-19,2568
2017-11-19,2314
2017-12-19,2358
2018-01-19,2274
2018-02-19,2272
2018-03-19,2411
2018-04-19,2418
2018-05-19,2430
2018-06-19,2697
2018-07-19,2564
2018-08-18,2672
2018-09-19,2709
2018-10-19,2722